report_id,crew_id,report_date,fatigue_level,samn_perelli_score,notes,category,created_at
509,11,2026-01-10,Moderate,4,Feeling the effects of the long duty day.,Pre-Flight,2026-01-10 00:48:30
510,11,2026-01-11,Low,2,Feeling fully alert and rested.,Post-Flight,2026-01-11 19:10:00
511,11,2026-01-15,High,5,"Fatigue impacting performance, requested extra rest.",Pre-Flight,2026-01-15 18:46:23
512,11,2026-01-22,High,5,"Significant fatigue, concentration is difficult.",Pre-Flight,2026-01-22 03:35:53
513,11,2026-01-25,High,6,Struggling to stay alert during cruise.,Post-Flight,2026-01-25 08:49:57
514,11,2026-01-30,High,5,"Significant fatigue, concentration is difficult.",Post-Flight,2026-01-30 17:48:57
515,11,2026-02-02,Moderate,4,Reduced alertness after multiple sectors.,Post-Flight,2026-02-02 05:39:33
516,11,2026-02-04,High,5,"Fatigue impacting performance, requested extra rest.",Post-Flight,2026-02-04 20:06:19
517,11,2026-02-09,Mild,3,Slightly tired but functioning normally.,Post-Flight,2026-02-09 01:53:50
518,11,2026-02-16,High,5,"Fatigue impacting performance, requested extra rest.",Post-Flight,2026-02-16 21:42:59
519,11,2026-02-20,High,6,Struggling to stay alert during cruise.,Pre-Flight,2026-02-20 23:07:58
520,11,2026-02-28,Low,2,"No fatigue concerns, ready for duty.",Scheduled Check-in,2026-02-28 13:00:00
521,11,2026-03-04,High,6,Struggling to stay alert during cruise.,Pre-Flight,2026-03-04 04:59:29
522,11,2026-03-05,Mild,3,Slightly tired but functioning normally.,Pre-Flight,2026-03-05 17:58:09
523,11,2026-03-07,Mild,3,Slightly tired but functioning normally.,Pre-Flight,2026-03-08 00:31:19
524,11,2026-03-11,Moderate,4,"Noticeable fatigue, functioning with some effort.",Post-Flight,2026-03-11 06:45:36
525,11,2026-03-12,High,6,"Significant fatigue, concentration is difficult.",Post-Flight,2026-03-12 17:34:33
526,11,2026-03-12,Low,2,"Well rested, good sleep last night.",Layover,2026-03-12 12:00:00
527,11,2026-03-23,Mild,3,"Minor drowsiness, manageable.",Pre-Flight,2026-03-23 07:29:15
528,11,2026-03-28,Mild,3,Slightly tired but functioning normally.,Layover,2026-03-28 08:00:00
529,11,2026-04-01,High,5,"Fatigue impacting performance, requested extra rest.",Pre-Flight,2026-04-01 02:52:10
530,11,2026-04-05,High,6,Struggling to stay alert during cruise.,Post-Flight,2026-04-05 09:40:52
531,11,2026-04-07,Moderate,4,Reduced alertness after multiple sectors.,Pre-Flight,2026-04-07 03:47:06
532,11,2026-04-19,Severe,7,"Critical fatigue level, requested crew rest protocol review.",Post-Flight,2026-04-19 02:31:09
533,11,2026-04-19,Low,1,"Well rested, good sleep last night.",Scheduled Check-in,2026-04-19 13:00:00
534,11,2026-04-20,Mild,3,Slightly tired but functioning normally.,Pre-Flight,2026-04-20 20:55:54
535,11,2026-04-22,Moderate,4,"Noticeable fatigue, functioning with some effort.",Post-Flight,2026-04-22 20:04:43
536,11,2026-04-25,High,6,"Significant fatigue, concentration is difficult.",Post-Flight,2026-04-25 04:10:27
537,11,2026-04-27,High,6,"Significant fatigue, concentration is difficult.",Post-Flight,2026-04-27 21:32:52
538,11,2026-05-01,High,6,"Fatigue impacting performance, requested extra rest.",Post-Flight,2026-05-01 06:38:32
539,11,2026-05-04,Moderate,4,Feeling the effects of the long duty day.,Post-Flight,2026-05-04 20:04:06
540,11,2026-05-07,High,6,"Fatigue impacting performance, requested extra rest.",Pre-Flight,2026-05-07 10:57:15
541,11,2026-05-08,Mild,3,A bit sluggish after early report time.,Post-Flight,2026-05-08 17:21:57
542,11,2026-05-19,High,6,Struggling to stay alert during cruise.,Post-Flight,2026-05-19 21:21:39
543,11,2026-05-23,High,5,"Significant fatigue, concentration is difficult.",Pre-Flight,2026-05-23 17:46:41
544,11,2026-05-24,Low,2,Feeling fully alert and rested.,Layover,2026-05-24 11:00:00
545,11,2026-05-30,Mild,3,"Minor drowsiness, manageable.",Post-Flight,2026-05-30 11:38:56
546,11,2026-06-02,High,5,"Fatigue impacting performance, requested extra rest.",Pre-Flight,2026-06-02 05:48:43
547,11,2026-06-05,Low,2,Feeling fully alert and rested.,Scheduled Check-in,2026-06-05 10:00:00
548,11,2026-06-06,Severe,7,"Critical fatigue level, requested crew rest protocol review.",Post-Flight,2026-06-06 22:03:21
549,11,2026-06-09,High,5,"Significant fatigue, concentration is difficult.",Post-Flight,2026-06-09 13:31:54
550,11,2026-06-11,Moderate,4,"Noticeable fatigue, functioning with some effort.",Post-Flight,2026-06-11 23:07:04
551,11,2026-06-11,Low,2,Feeling fully alert and rested.,Layover,2026-06-11 20:00:00
552,11,2026-06-14,Mild,3,Slightly tired but functioning normally.,Scheduled Check-in,2026-06-14 07:00:00
553,11,2026-06-17,Low,1,"No fatigue concerns, ready for duty.",Pre-Flight,2026-06-17 20:30:55
554,11,2026-06-20,Low,2,"No fatigue concerns, ready for duty.",Scheduled Check-in,2026-06-20 19:00:00
555,11,2026-06-22,High,6,"Fatigue impacting performance, requested extra rest.",Post-Flight,2026-06-22 04:49:08
556,11,2026-06-23,Moderate,4,Feeling the effects of the long duty day.,Post-Flight,2026-06-23 23:33:27
557,11,2026-06-26,Moderate,4,Reduced alertness after multiple sectors.,Post-Flight,2026-06-26 02:55:24
558,11,2026-06-29,Mild,3,Slightly tired but functioning normally.,Post-Flight,2026-06-29 06:38:26
559,11,2026-07-01,Mild,3,"Minor drowsiness, manageable.",Pre-Flight,2026-07-01 02:17:20
560,11,2026-07-03,Moderate,4,Feeling the effects of the long duty day.,Post-Flight,2026-07-03 02:26:06
561,12,2026-01-06,Low,1,"No fatigue concerns, ready for duty.",Layover,2026-01-06 15:00:00
562,12,2026-01-11,High,6,"Fatigue impacting performance, requested extra rest.",Pre-Flight,2026-01-11 17:43:28
563,12,2026-01-21,Mild,3,"Minor drowsiness, manageable.",Post-Flight,2026-01-21 23:48:36
564,12,2026-01-31,Low,2,Feeling fully alert and rested.,Pre-Flight,2026-01-31 16:06:06
565,12,2026-02-03,Low,1,"No fatigue concerns, ready for duty.",Scheduled Check-in,2026-02-03 14:00:00
566,12,2026-02-04,Moderate,4,Feeling the effects of the long duty day.,Pre-Flight,2026-02-04 22:43:30
567,12,2026-02-06,Low,2,"Well rested, good sleep last night.",Scheduled Check-in,2026-02-06 11:00:00
568,12,2026-02-09,Moderate,4,Feeling the effects of the long duty day.,Pre-Flight,2026-02-09 04:53:33
569,12,2026-02-13,Low,2,"Well rested, good sleep last night.",Layover,2026-02-13 12:00:00
570,12,2026-02-14,Mild,3,A bit sluggish after early report time.,Layover,2026-02-14 08:00:00
571,12,2026-02-26,Moderate,4,Feeling the effects of the long duty day.,Post-Flight,2026-02-26 11:41:53
572,12,2026-02-28,Low,2,"No fatigue concerns, ready for duty.",Post-Flight,2026-02-28 23:23:18
573,12,2026-03-04,Moderate,4,"Noticeable fatigue, functioning with some effort.",Post-Flight,2026-03-04 12:03:57
574,12,2026-03-08,Low,2,Feeling fully alert and rested.,Post-Flight,2026-03-08 10:58:34
575,12,2026-03-11,Moderate,4,Feeling the effects of the long duty day.,Post-Flight,2026-03-11 18:08:58
576,12,2026-03-15,Moderate,4,"Noticeable fatigue, functioning with some effort.",Pre-Flight,2026-03-15 07:06:47
577,12,2026-03-17,Mild,3,A bit sluggish after early report time.,Post-Flight,2026-03-17 05:22:10
578,12,2026-03-21,High,5,"Significant fatigue, concentration is difficult.",Post-Flight,2026-03-21 05:34:33
579,12,2026-03-26,Moderate,4,"Noticeable fatigue, functioning with some effort.",Post-Flight,2026-03-26 13:29:56
580,12,2026-03-30,Mild,3,"Minor drowsiness, manageable.",Post-Flight,2026-03-30 05:43:59
581,12,2026-04-05,Moderate,4,Reduced alertness after multiple sectors.,Pre-Flight,2026-04-05 23:26:05
582,12,2026-04-11,Mild,3,A bit sluggish after early report time.,Post-Flight,2026-04-11 04:29:36
583,12,2026-04-14,Mild,3,"Minor drowsiness, manageable.",Post-Flight,2026-04-14 05:55:24
584,12,2026-04-18,Moderate,4,Feeling the effects of the long duty day.,Post-Flight,2026-04-18 07:54:53
585,12,2026-04-18,Low,2,"No fatigue concerns, ready for duty.",Layover,2026-04-18 20:00:00
586,12,2026-04-21,Mild,3,Slightly tired but functioning normally.,Post-Flight,2026-04-21 09:05:50
587,12,2026-04-21,Moderate,4,Reduced alertness after multiple sectors.,Layover,2026-04-21 11:00:00
588,12,2026-04-23,Mild,3,A bit sluggish after early report time.,Post-Flight,2026-04-23 09:12:59
589,12,2026-04-23,Low,1,"Well rested, good sleep last night.",Scheduled Check-in,2026-04-23 19:00:00
590,12,2026-04-26,Moderate,4,Feeling the effects of the long duty day.,Post-Flight,2026-04-26 02:34:52
591,12,2026-04-30,Mild,3,Slightly tired but functioning normally.,Pre-Flight,2026-04-30 05:04:38
592,12,2026-05-02,Mild,3,A bit sluggish after early report time.,Pre-Flight,2026-05-02 05:59:17
593,12,2026-05-04,Mild,3,A bit sluggish after early report time.,Post-Flight,2026-05-04 17:53:24
594,12,2026-05-06,Mild,3,Slightly tired but functioning normally.,Post-Flight,2026-05-06 20:10:27
595,12,2026-05-08,Moderate,4,"Noticeable fatigue, functioning with some effort.",Pre-Flight,2026-05-08 19:24:43
596,12,2026-05-10,Mild,3,Slightly tired but functioning normally.,Post-Flight,2026-05-10 23:46:25
597,12,2026-05-10,Low,2,Feeling fully alert and rested.,Layover,2026-05-10 19:00:00
598,12,2026-05-15,Moderate,4,Feeling the effects of the long duty day.,Pre-Flight,2026-05-15 05:27:56
599,12,2026-05-19,Low,2,Feeling fully alert and rested.,Pre-Flight,2026-05-19 04:40:40
600,12,2026-05-23,Low,2,"No fatigue concerns, ready for duty.",Post-Flight,2026-05-23 07:27:28
601,12,2026-05-27,High,5,"Fatigue impacting performance, requested extra rest.",Post-Flight,2026-05-27 06:06:23
602,12,2026-05-29,High,5,"Significant fatigue, concentration is difficult.",Post-Flight,2026-05-29 01:55:47
603,12,2026-06-02,High,5,Struggling to stay alert during cruise.,Post-Flight,2026-06-02 05:51:35
604,12,2026-06-05,Mild,3,A bit sluggish after early report time.,Post-Flight,2026-06-05 23:32:33
605,12,2026-06-19,Mild,3,Slightly tired but functioning normally.,Post-Flight,2026-06-19 07:13:45
606,12,2026-06-22,High,5,"Significant fatigue, concentration is difficult.",Pre-Flight,2026-06-22 15:26:55
607,12,2026-06-25,Low,2,Feeling fully alert and rested.,Post-Flight,2026-06-25 04:17:22
608,12,2026-06-28,Mild,3,A bit sluggish after early report time.,Post-Flight,2026-06-28 17:05:27
609,13,2026-01-09,High,5,Struggling to stay alert during cruise.,Post-Flight,2026-01-09 01:45:56
610,13,2026-01-10,Low,2,Feeling fully alert and rested.,Post-Flight,2026-01-10 14:08:10
611,13,2026-01-16,Mild,3,A bit sluggish after early report time.,Post-Flight,2026-01-16 13:53:22
612,13,2026-01-19,Mild,3,A bit sluggish after early report time.,Pre-Flight,2026-01-19 03:40:33
613,13,2026-01-21,High,6,"Significant fatigue, concentration is difficult.",Pre-Flight,2026-01-21 01:50:26
614,13,2026-01-24,Moderate,4,"Noticeable fatigue, functioning with some effort.",Post-Flight,2026-01-24 06:58:09
615,13,2026-01-27,High,5,Struggling to stay alert during cruise.,Post-Flight,2026-01-27 09:16:32
616,13,2026-01-28,Mild,3,Slightly tired but functioning normally.,Post-Flight,2026-01-28 14:30:20
617,13,2026-02-14,Moderate,4,Feeling the effects of the long duty day.,Pre-Flight,2026-02-14 11:38:48
618,13,2026-02-20,Moderate,4,Feeling the effects of the long duty day.,Post-Flight,2026-02-20 09:00:55
619,13,2026-02-20,Low,1,"No fatigue concerns, ready for duty.",Layover,2026-02-20 12:00:00
620,13,2026-02-24,Moderate,4,"Noticeable fatigue, functioning with some effort.",Post-Flight,2026-02-24 06:40:19
621,13,2026-03-02,High,5,Struggling to stay alert during cruise.,Post-Flight,2026-03-02 05:23:39
622,13,2026-03-10,Low,2,Feeling fully alert and rested.,Post-Flight,2026-03-10 09:32:46
623,13,2026-03-11,Moderate,4,Reduced alertness after multiple sectors.,Post-Flight,2026-03-11 19:56:59
624,13,2026-03-13,High,6,"Fatigue impacting performance, requested extra rest.",Post-Flight,2026-03-13 19:12:11
625,13,2026-03-13,Low,2,"No fatigue concerns, ready for duty.",Scheduled Check-in,2026-03-13 12:00:00
626,13,2026-03-18,High,6,Struggling to stay alert during cruise.,Post-Flight,2026-03-18 08:06:52
627,13,2026-03-21,Mild,3,Slightly tired but functioning normally.,Post-Flight,2026-03-21 01:38:48
628,13,2026-03-23,High,5,"Significant fatigue, concentration is difficult.",Post-Flight,2026-03-23 15:53:31
629,13,2026-03-31,Moderate,4,Feeling the effects of the long duty day.,Post-Flight,2026-03-31 19:25:58
630,13,2026-04-03,High,5,Struggling to stay alert during cruise.,Post-Flight,2026-04-03 20:14:16
631,13,2026-04-07,Moderate,4,"Noticeable fatigue, functioning with some effort.",Post-Flight,2026-04-07 05:41:21
632,13,2026-04-11,High,5,Struggling to stay alert during cruise.,Pre-Flight,2026-04-11 08:40:20
633,13,2026-04-12,Moderate,4,Feeling the effects of the long duty day.,Pre-Flight,2026-04-12 12:01:39
634,13,2026-04-14,High,5,Struggling to stay alert during cruise.,Pre-Flight,2026-04-14 16:04:05
635,13,2026-04-17,High,6,"Significant fatigue, concentration is difficult.",Post-Flight,2026-04-17 04:35:35
636,13,2026-04-24,High,6,Struggling to stay alert during cruise.,Post-Flight,2026-04-24 19:13:37
637,13,2026-05-05,High,5,Struggling to stay alert during cruise.,Post-Flight,2026-05-05 05:33:37
638,13,2026-05-05,Mild,3,A bit sluggish after early report time.,Layover,2026-05-05 11:00:00
639,13,2026-05-06,Moderate,4,"Noticeable fatigue, functioning with some effort.",Pre-Flight,2026-05-06 19:07:06
640,13,2026-05-11,Moderate,4,Feeling the effects of the long duty day.,Post-Flight,2026-05-11 04:40:11
641,13,2026-05-12,Moderate,4,Reduced alertness after multiple sectors.,Pre-Flight,2026-05-12 22:29:22
642,13,2026-05-13,Mild,3,"Minor drowsiness, manageable.",Scheduled Check-in,2026-05-13 11:00:00
643,13,2026-05-14,Mild,3,A bit sluggish after early report time.,Post-Flight,2026-05-14 15:06:57
644,13,2026-05-16,Low,2,"Well rested, good sleep last night.",Layover,2026-05-16 13:00:00
645,13,2026-05-17,Low,2,"Well rested, good sleep last night.",Scheduled Check-in,2026-05-17 07:00:00
646,13,2026-05-18,Low,2,Feeling fully alert and rested.,Scheduled Check-in,2026-05-18 17:00:00
647,13,2026-05-21,Mild,3,Slightly tired but functioning normally.,Post-Flight,2026-05-21 14:11:34
648,13,2026-05-27,Mild,3,Slightly tired but functioning normally.,Pre-Flight,2026-05-27 08:17:46
649,13,2026-05-27,Low,2,Feeling fully alert and rested.,Layover,2026-05-27 15:00:00
650,13,2026-05-31,Mild,3,A bit sluggish after early report time.,Scheduled Check-in,2026-05-31 10:00:00
651,13,2026-06-01,Moderate,4,"Noticeable fatigue, functioning with some effort.",Post-Flight,2026-06-01 04:48:53
652,13,2026-06-05,Moderate,4,"Noticeable fatigue, functioning with some effort.",Post-Flight,2026-06-05 03:49:37
653,13,2026-06-09,Moderate,4,"Noticeable fatigue, functioning with some effort.",Post-Flight,2026-06-09 10:15:51
654,13,2026-06-15,Severe,7,"Critical fatigue level, requested crew rest protocol review.",Pre-Flight,2026-06-15 10:01:00
655,13,2026-06-18,Moderate,4,Reduced alertness after multiple sectors.,Post-Flight,2026-06-18 03:06:50
656,13,2026-06-20,Mild,3,"Minor drowsiness, manageable.",Pre-Flight,2026-06-20 18:37:48
657,13,2026-06-23,High,5,"Significant fatigue, concentration is difficult.",Post-Flight,2026-06-23 15:01:10
658,13,2026-06-29,High,6,Struggling to stay alert during cruise.,Pre-Flight,2026-06-29 07:39:16
659,13,2026-07-01,Moderate,4,Reduced alertness after multiple sectors.,Post-Flight,2026-07-01 20:14:04
660,14,2026-01-08,Moderate,4,Feeling the effects of the long duty day.,Post-Flight,2026-01-08 18:14:50
661,14,2026-01-08,Mild,3,A bit sluggish after early report time.,Layover,2026-01-08 14:00:00
662,14,2026-01-11,Low,2,Feeling fully alert and rested.,Post-Flight,2026-01-11 23:24:38
663,14,2026-01-13,Low,1,"Well rested, good sleep last night.",Layover,2026-01-13 07:00:00
664,14,2026-01-16,Mild,3,Slightly tired but functioning normally.,Post-Flight,2026-01-16 04:53:45
665,14,2026-01-18,Mild,3,"Minor drowsiness, manageable.",Pre-Flight,2026-01-18 22:20:33
666,14,2026-01-19,Mild,3,Slightly tired but functioning normally.,Scheduled Check-in,2026-01-19 10:00:00
667,14,2026-01-24,Low,2,Feeling fully alert and rested.,Post-Flight,2026-01-24 23:46:11
668,14,2026-01-28,Moderate,4,Feeling the effects of the long duty day.,Post-Flight,2026-01-28 22:59:40
669,14,2026-01-28,Low,2,"No fatigue concerns, ready for duty.",Layover,2026-01-28 10:00:00
670,14,2026-02-04,Mild,3,"Minor drowsiness, manageable.",Post-Flight,2026-02-04 05:46:30
671,14,2026-02-05,Mild,3,A bit sluggish after early report time.,Post-Flight,2026-02-05 15:10:57
672,14,2026-02-12,Moderate,4,"Noticeable fatigue, functioning with some effort.",Post-Flight,2026-02-12 02:56:09
673,14,2026-02-17,Low,2,"No fatigue concerns, ready for duty.",Pre-Flight,2026-02-17 08:26:41
674,14,2026-02-18,Moderate,4,Reduced alertness after multiple sectors.,Pre-Flight,2026-02-18 22:52:32
675,14,2026-02-20,Moderate,4,"Noticeable fatigue, functioning with some effort.",Post-Flight,2026-02-20 17:44:03
676,14,2026-02-27,High,5,"Fatigue impacting performance, requested extra rest.",Pre-Flight,2026-02-27 13:30:28
677,14,2026-03-02,Mild,3,A bit sluggish after early report time.,Post-Flight,2026-03-02 12:23:30
678,14,2026-03-04,Mild,3,"Minor drowsiness, manageable.",Post-Flight,2026-03-04 05:14:20
679,14,2026-03-06,Low,2,"No fatigue concerns, ready for duty.",Post-Flight,2026-03-06 01:37:37
680,14,2026-03-09,Low,2,"No fatigue concerns, ready for duty.",Post-Flight,2026-03-09 19:21:01
681,14,2026-03-28,Moderate,4,Feeling the effects of the long duty day.,Post-Flight,2026-03-28 19:19:18
682,14,2026-04-01,Mild,3,A bit sluggish after early report time.,Layover,2026-04-01 08:00:00
683,14,2026-04-02,Low,2,Feeling fully alert and rested.,Post-Flight,2026-04-02 22:01:11
684,14,2026-04-06,Moderate,4,"Noticeable fatigue, functioning with some effort.",Post-Flight,2026-04-06 13:09:09
685,14,2026-04-08,Low,2,"No fatigue concerns, ready for duty.",Post-Flight,2026-04-08 23:48:53
686,14,2026-04-16,Moderate,4,Feeling the effects of the long duty day.,Post-Flight,2026-04-16 06:48:43
687,14,2026-04-19,Low,2,"No fatigue concerns, ready for duty.",Pre-Flight,2026-04-19 18:40:29
688,14,2026-04-24,Mild,3,A bit sluggish after early report time.,Pre-Flight,2026-04-24 03:32:21
689,14,2026-04-24,Low,1,Feeling fully alert and rested.,Layover,2026-04-24 20:00:00
690,14,2026-04-25,Mild,3,A bit sluggish after early report time.,Post-Flight,2026-04-25 20:44:15
691,14,2026-04-27,Low,2,Feeling fully alert and rested.,Post-Flight,2026-04-27 10:16:25
692,14,2026-04-30,Mild,3,Slightly tired but functioning normally.,Layover,2026-04-30 15:00:00
693,14,2026-05-01,High,5,Struggling to stay alert during cruise.,Pre-Flight,2026-05-01 11:53:48
694,14,2026-05-07,Mild,3,"Minor drowsiness, manageable.",Post-Flight,2026-05-07 19:33:02
695,14,2026-05-16,Moderate,4,"Noticeable fatigue, functioning with some effort.",Post-Flight,2026-05-16 10:38:26
696,14,2026-05-22,Low,1,"No fatigue concerns, ready for duty.",Post-Flight,2026-05-22 11:59:07
697,14,2026-05-24,Severe,7,"Fighting to stay awake, flagged to scheduling.",Post-Flight,2026-05-24 21:06:12
698,14,2026-05-27,Moderate,4,Reduced alertness after multiple sectors.,Post-Flight,2026-05-27 11:53:06
699,14,2026-05-31,Low,1,Feeling fully alert and rested.,Post-Flight,2026-05-31 09:50:44
700,14,2026-06-03,High,6,"Fatigue impacting performance, requested extra rest.",Post-Flight,2026-06-03 21:06:47
701,14,2026-06-04,Mild,3,A bit sluggish after early report time.,Layover,2026-06-04 16:00:00
702,14,2026-06-07,Mild,3,A bit sluggish after early report time.,Post-Flight,2026-06-07 23:22:02
703,14,2026-06-11,Low,2,"No fatigue concerns, ready for duty.",Post-Flight,2026-06-11 16:48:34
704,14,2026-06-16,High,5,Struggling to stay alert during cruise.,Pre-Flight,2026-06-16 09:19:10
705,14,2026-06-19,Low,1,"No fatigue concerns, ready for duty.",Post-Flight,2026-06-19 15:57:18
706,14,2026-06-22,Low,2,"No fatigue concerns, ready for duty.",Pre-Flight,2026-06-22 04:20:52
707,14,2026-06-23,High,5,"Significant fatigue, concentration is difficult.",Post-Flight,2026-06-23 15:10:57
708,14,2026-06-27,High,5,"Fatigue impacting performance, requested extra rest.",Pre-Flight,2026-06-27 14:07:58
709,14,2026-06-30,Low,2,"Well rested, good sleep last night.",Post-Flight,2026-06-30 17:51:03
710,14,2026-07-02,Mild,3,"Minor drowsiness, manageable.",Layover,2026-07-02 08:00:00
711,15,2026-01-11,High,5,"Significant fatigue, concentration is difficult.",Pre-Flight,2026-01-11 02:11:21
712,15,2026-01-13,Moderate,4,Feeling the effects of the long duty day.,Pre-Flight,2026-01-13 19:08:13
713,15,2026-01-16,Moderate,4,"Noticeable fatigue, functioning with some effort.",Scheduled Check-in,2026-01-16 14:00:00
714,15,2026-01-17,Moderate,4,Feeling the effects of the long duty day.,Post-Flight,2026-01-17 03:00:21
715,15,2026-01-19,High,5,"Significant fatigue, concentration is difficult.",Post-Flight,2026-01-19 01:57:56
716,15,2026-01-20,Mild,3,Slightly tired but functioning normally.,Scheduled Check-in,2026-01-20 09:00:00
717,15,2026-01-24,Moderate,4,Reduced alertness after multiple sectors.,Post-Flight,2026-01-24 01:31:00
718,15,2026-02-04,Mild,3,A bit sluggish after early report time.,Post-Flight,2026-02-04 12:17:04
719,15,2026-02-15,Low,2,"No fatigue concerns, ready for duty.",Post-Flight,2026-02-15 23:07:26
720,15,2026-02-18,High,5,"Fatigue impacting performance, requested extra rest.",Pre-Flight,2026-02-18 18:25:56
721,15,2026-02-19,Low,1,"Well rested, good sleep last night.",Layover,2026-02-19 09:00:00
722,15,2026-02-21,High,5,"Significant fatigue, concentration is difficult.",Post-Flight,2026-02-21 18:41:26
723,15,2026-02-23,High,6,"Significant fatigue, concentration is difficult.",Pre-Flight,2026-02-23 21:50:22
724,15,2026-03-02,Low,2,"Well rested, good sleep last night.",Layover,2026-03-02 15:00:00
725,15,2026-03-03,Moderate,4,"Noticeable fatigue, functioning with some effort.",Pre-Flight,2026-03-03 02:28:28
726,15,2026-03-06,Moderate,4,Feeling the effects of the long duty day.,Post-Flight,2026-03-07 00:51:09
727,15,2026-03-09,Mild,3,A bit sluggish after early report time.,Pre-Flight,2026-03-09 08:06:02
728,15,2026-03-16,High,6,Struggling to stay alert during cruise.,Post-Flight,2026-03-17 00:28:59
729,15,2026-03-21,Moderate,4,"Noticeable fatigue, functioning with some effort.",Post-Flight,2026-03-21 16:13:44
730,15,2026-03-23,Mild,3,A bit sluggish after early report time.,Pre-Flight,2026-03-23 20:18:12
731,15,2026-03-26,Moderate,4,"Noticeable fatigue, functioning with some effort.",Post-Flight,2026-03-26 01:18:06
732,15,2026-04-07,Moderate,4,Feeling the effects of the long duty day.,Post-Flight,2026-04-07 05:28:13
733,15,2026-04-16,Low,2,"Well rested, good sleep last night.",Layover,2026-04-16 17:00:00
734,15,2026-04-18,High,6,Struggling to stay alert during cruise.,Post-Flight,2026-04-18 02:52:36
735,15,2026-04-21,High,6,"Fatigue impacting performance, requested extra rest.",Pre-Flight,2026-04-21 21:50:29
736,15,2026-04-26,High,5,"Significant fatigue, concentration is difficult.",Pre-Flight,2026-04-26 04:08:57
737,15,2026-04-29,High,5,Struggling to stay alert during cruise.,Post-Flight,2026-04-29 04:06:23
738,15,2026-05-01,Mild,3,"Minor drowsiness, manageable.",Scheduled Check-in,2026-05-01 17:00:00
739,15,2026-05-03,High,6,"Fatigue impacting performance, requested extra rest.",Pre-Flight,2026-05-03 04:19:11
740,15,2026-05-04,Severe,7,"Extreme fatigue, difficulty functioning safely.",Post-Flight,2026-05-04 23:25:18
741,15,2026-05-07,Moderate,4,"Noticeable fatigue, functioning with some effort.",Pre-Flight,2026-05-07 03:25:22
742,15,2026-05-08,Mild,3,"Minor drowsiness, manageable.",Pre-Flight,2026-05-08 08:46:09
743,15,2026-05-09,Mild,3,A bit sluggish after early report time.,Layover,2026-05-09 08:00:00
744,15,2026-05-10,High,5,Struggling to stay alert during cruise.,Pre-Flight,2026-05-11 00:37:57
745,15,2026-05-12,Mild,3,Slightly tired but functioning normally.,Scheduled Check-in,2026-05-12 11:00:00
746,15,2026-05-15,High,5,"Fatigue impacting performance, requested extra rest.",Post-Flight,2026-05-15 01:56:01
747,15,2026-05-19,High,5,Struggling to stay alert during cruise.,Post-Flight,2026-05-19 05:32:33
748,15,2026-05-20,Moderate,4,Feeling the effects of the long duty day.,Post-Flight,2026-05-20 20:37:21
749,15,2026-05-26,Moderate,4,Reduced alertness after multiple sectors.,Post-Flight,2026-05-26 14:05:10
750,15,2026-06-01,High,5,"Fatigue impacting performance, requested extra rest.",Pre-Flight,2026-06-01 19:35:53
751,15,2026-06-06,Mild,3,"Minor drowsiness, manageable.",Post-Flight,2026-06-06 04:38:59
752,15,2026-06-08,Mild,3,Slightly tired but functioning normally.,Post-Flight,2026-06-08 21:10:30
753,15,2026-06-11,High,5,Struggling to stay alert during cruise.,Post-Flight,2026-06-11 04:31:42
754,15,2026-06-12,Moderate,4,Reduced alertness after multiple sectors.,Pre-Flight,2026-06-12 19:58:05
755,15,2026-06-17,Low,2,Feeling fully alert and rested.,Layover,2026-06-17 10:00:00
756,15,2026-06-18,Moderate,4,Feeling the effects of the long duty day.,Pre-Flight,2026-06-18 16:16:39
757,15,2026-06-22,High,5,Struggling to stay alert during cruise.,Pre-Flight,2026-06-22 17:40:47
758,15,2026-06-26,Mild,3,Slightly tired but functioning normally.,Pre-Flight,2026-06-26 03:57:14
759,15,2026-06-30,High,6,"Fatigue impacting performance, requested extra rest.",Post-Flight,2026-06-30 12:56:37
760,15,2026-07-04,Moderate,4,Feeling the effects of the long duty day.,Pre-Flight,2026-07-04 10:51:53
761,16,2026-01-09,Mild,3,Slightly tired but functioning normally.,Pre-Flight,2026-01-09 09:24:30
762,16,2026-01-16,High,5,"Significant fatigue, concentration is difficult.",Post-Flight,2026-01-16 01:24:42
763,16,2026-01-20,Low,2,"Well rested, good sleep last night.",Pre-Flight,2026-01-20 03:23:39
764,16,2026-01-28,Low,1,"Well rested, good sleep last night.",Layover,2026-01-28 10:00:00
765,16,2026-01-29,Mild,3,"Minor drowsiness, manageable.",Post-Flight,2026-01-29 09:12:20
766,16,2026-01-30,Low,1,"Well rested, good sleep last night.",Layover,2026-01-30 11:00:00
767,16,2026-02-02,High,5,"Significant fatigue, concentration is difficult.",Post-Flight,2026-02-02 10:28:55
768,16,2026-02-06,Mild,3,"Minor drowsiness, manageable.",Pre-Flight,2026-02-06 11:10:12
769,16,2026-02-08,High,5,"Fatigue impacting performance, requested extra rest.",Post-Flight,2026-02-08 07:07:27
770,16,2026-02-13,Moderate,4,Reduced alertness after multiple sectors.,Post-Flight,2026-02-13 14:41:59
771,16,2026-02-13,Mild,3,"Minor drowsiness, manageable.",Scheduled Check-in,2026-02-13 10:00:00
772,16,2026-02-15,Low,2,Feeling fully alert and rested.,Post-Flight,2026-02-15 14:52:13
773,16,2026-02-19,Mild,3,Slightly tired but functioning normally.,Post-Flight,2026-02-19 08:03:43
